Start date,End date,Max ASY-H,Classification
1981-02-28 11:50:00,1981-03-10 11:50:00,132,Low
1982-01-28 11:30:00,1982-02-07 11:30:00,142,Low
1982-08-02 06:00:00,1982-08-12 06:00:00,147,Low
1982-10-26 19:00:00,1982-11-05 19:00:00,142,Low
1982-12-17 03:10:00,1982-12-27 03:10:00,135,Low
1983-05-06 17:55:00,1983-05-16 17:55:00,152,Low
1983-06-08 04:20:00,1983-06-18 04:20:00,136,Low
1983-08-03 04:20:00,1983-08-13 04:20:00,144,Low
1983-09-29 15:00:00,1983-10-09 15:00:00,152,Low
1983-11-06 20:30:00,1983-11-16 20:30:00,149,Low
1984-04-21 15:35:00,1984-05-01 15:35:00,144,Low
1984-07-08 07:00:00,1984-07-18 07:00:00,143,Low
1984-08-30 15:30:00,1984-09-09 15:30:00,159,Low
1984-09-14 12:30:00,1984-09-24 12:30:00,145,Low
1984-11-11 03:10:00,1984-11-21 03:10:00,142,Low
1985-02-23 03:00:00,1985-03-05 03:00:00,141,Low
1985-04-04 14:15:00,1985-04-14 14:15:00,132,Low
1985-06-04 22:20:00,1985-06-14 22:20:00,154,Low
1985-09-14 10:15:00,1985-09-24 10:15:00,142,Low
1985-09-30 20:10:00,1985-10-10 20:10:00,165,Low
1985-11-25 01:35:00,1985-12-05 01:35:00,164,Low
1985-12-08 11:20:00,1985-12-18 11:20:00,141,Low
1986-10-08 20:35:00,1986-10-18 20:35:00,142,Low
1986-10-30 00:55:00,1986-11-09 00:55:00,138,Low
1987-09-17 23:10:00,1987-09-27 23:10:00,131,Low
1987-10-06 15:25:00,1987-10-16 15:25:00,166,Low
1987-10-23 00:15:00,1987-11-02 00:15:00,148,Low
1988-01-09 19:25:00,1988-01-19 19:25:00,136,Low
1988-05-01 08:50:00,1988-05-11 08:50:00,166,Low
1988-09-06 11:05:00,1988-09-16 11:05:00,137,Low
1988-12-12 20:15:00,1988-12-22 20:15:00,138,Low
1989-12-24 21:10:00,1990-01-03 21:10:00,161,Low
1990-02-15 19:25:00,1990-02-25 19:25:00,136,Low
1990-08-27 12:40:00,1990-09-06 12:40:00,152,Low
1990-10-25 02:50:00,1990-11-04 02:50:00,131,Low
1991-08-07 15:20:00,1991-08-17 15:20:00,143,Low
1991-12-22 22:10:00,1992-01-01 22:10:00,156,Low
1992-08-18 04:40:00,1992-08-28 04:40:00,165,Low
1992-10-07 10:35:00,1992-10-17 10:35:00,135,Low
1993-01-26 09:05:00,1993-02-05 09:05:00,132,Low
1993-03-10 11:35:00,1993-03-20 11:35:00,147,Low
1993-03-31 10:25:00,1993-04-10 10:25:00,158,Low
1993-06-05 22:20:00,1993-06-15 22:20:00,147,Low
1993-08-12 00:55:00,1993-08-22 00:55:00,131,Low
1993-09-08 06:35:00,1993-09-18 06:35:00,169,Low
1993-10-30 00:20:00,1993-11-09 00:20:00,138,Low
1994-03-11 17:00:00,1994-03-21 17:00:00,137,Low
1994-04-27 03:35:00,1994-05-07 03:35:00,143,Low
1994-05-23 19:55:00,1994-06-02 19:55:00,138,Low
1994-09-28 14:10:00,1994-10-08 14:10:00,142,Low
1995-01-24 21:45:00,1995-02-03 21:45:00,135,Low
1995-03-06 22:30:00,1995-03-16 22:30:00,153,Low
1995-03-21 14:25:00,1995-03-31 14:25:00,143,Low
1995-07-11 15:55:00,1995-07-21 15:55:00,155,Low
1995-10-13 22:50:00,1995-10-23 22:50:00,131,Low
1995-11-22 11:20:00,1995-12-02 11:20:00,156,Low
1996-02-06 03:10:00,1996-02-16 03:10:00,134,Low
1996-03-16 21:15:00,1996-03-26 21:15:00,140,Low
1996-08-24 07:40:00,1996-09-03 07:40:00,144,Low
1996-10-17 22:35:00,1996-10-27 22:35:00,168,Low
1997-01-05 07:40:00,1997-01-15 07:40:00,164,Low
1997-02-03 14:00:00,1997-02-13 14:00:00,144,Low
1997-02-23 05:15:00,1997-03-05 05:15:00,144,Low
1997-04-06 03:10:00,1997-04-16 03:10:00,164,Low
1997-05-10 08:30:00,1997-05-20 08:30:00,137,Low
1997-06-04 04:50:00,1997-06-14 04:50:00,151,Low
1997-09-26 16:15:00,1997-10-06 16:15:00,149,Low
1997-10-19 13:10:00,1997-10-29 13:10:00,136,Low
1997-11-02 05:30:00,1997-11-12 05:30:00,146,Low
1997-11-17 12:20:00,1997-11-27 12:20:00,159,Low
1998-05-24 16:05:00,1998-06-03 16:05:00,159,Low
1998-08-01 08:45:00,1998-08-11 08:45:00,136,Low
1998-10-02 18:10:00,1998-10-12 18:10:00,143,Low
1998-10-14 03:55:00,1998-10-24 03:55:00,156,Low
1999-01-09 09:10:00,1999-01-19 09:10:00,147,Low
1999-03-24 14:20:00,1999-04-03 14:20:00,157,Low
1999-04-12 04:05:00,1999-04-22 04:05:00,138,Low
1999-09-17 22:25:00,1999-09-27 22:25:00,157,Low
1999-10-05 14:25:00,1999-10-15 14:25:00,140,Low
1999-11-03 13:50:00,1999-11-13 13:50:00,141,Low
2000-06-03 15:05:00,2000-06-13 15:05:00,133,Low
2000-11-22 01:20:00,2000-12-02 01:20:00,149,Low
2001-08-12 19:15:00,2001-08-22 19:15:00,132,Low
2002-05-06 12:05:00,2002-05-16 12:05:00,154,Low
2002-09-02 17:20:00,2002-09-12 17:20:00,143,Low
2002-11-16 06:45:00,2002-11-26 06:45:00,142,Low
2003-01-17 23:45:00,2003-01-27 23:45:00,162,Low
2003-05-05 04:15:00,2003-05-15 04:15:00,160,Low
2003-06-23 09:55:00,2003-07-03 09:55:00,152,Low
2003-08-01 07:00:00,2003-08-11 07:00:00,144,Low
2003-08-13 07:15:00,2003-08-23 07:15:00,160,Low
2004-01-01 22:55:00,2004-01-11 22:55:00,139,Low
2004-01-17 13:30:00,2004-01-27 13:30:00,150,Low
2004-02-06 17:40:00,2004-02-16 17:40:00,152,Low
2004-03-05 08:10:00,2004-03-15 08:10:00,143,Low
2004-03-23 04:05:00,2004-04-02 04:05:00,143,Low
2005-03-31 03:25:00,2005-04-10 03:25:00,163,Low
2005-07-05 14:05:00,2005-07-15 14:05:00,158,Low
2006-03-14 00:35:00,2006-03-24 00:35:00,132,Low
2006-04-09 09:55:00,2006-04-19 09:55:00,162,Low
2006-11-05 10:25:00,2006-11-15 10:25:00,135,Low
2006-11-25 10:35:00,2006-12-05 10:35:00,150,Low
2008-08-30 02:55:00,2008-09-09 02:55:00,159,Low
2009-07-17 04:25:00,2009-07-27 04:25:00,131,Low
2010-03-31 09:25:00,2010-04-10 09:25:00,151,Low
2011-02-24 14:40:00,2011-03-06 14:40:00,152,Low
2011-05-24 05:30:00,2011-06-03 05:30:00,150,Low
2011-09-21 19:25:00,2011-10-01 19:25:00,150,Low
2011-10-19 23:50:00,2011-10-29 23:50:00,150,Low
2012-01-17 12:30:00,2012-01-27 12:30:00,132,Low
2012-04-19 00:55:00,2012-04-29 00:55:00,151,Low
2012-07-10 09:05:00,2012-07-20 09:05:00,164,Low
2012-10-03 13:10:00,2012-10-13 13:10:00,158,Low
2013-02-24 10:45:00,2013-03-06 10:45:00,149,Low
2013-05-27 06:10:00,2013-06-06 06:10:00,154,Low
2013-06-24 02:55:00,2013-07-04 02:55:00,165,Low
2014-02-14 06:15:00,2014-02-24 06:15:00,152,Low
2015-08-22 04:55:00,2015-09-01 04:55:00,149,Low
2015-12-15 16:20:00,2015-12-25 16:20:00,145,Low
2016-01-15 15:55:00,2016-01-25 15:55:00,140,Low
2016-05-04 00:05:00,2016-05-14 00:05:00,133,Low
2016-08-28 05:00:00,2016-09-07 05:00:00,133,Low
2016-09-24 09:30:00,2016-10-04 09:30:00,154,Low
2016-10-20 17:10:00,2016-10-30 17:10:00,161,Low
2016-11-05 15:55:00,2016-11-15 15:55:00,148,Low
2016-11-20 05:45:00,2016-11-30 05:45:00,166,Low
2017-03-22 20:05:00,2017-04-01 20:05:00,143,Low
2017-05-23 03:55:00,2017-06-02 03:55:00,158,Low
2017-09-23 08:00:00,2017-10-03 08:00:00,163,Low
2018-04-15 09:55:00,2018-04-25 09:55:00,136,Low
2018-09-06 09:35:00,2018-09-16 09:35:00,140,Low
2018-10-31 05:10:00,2018-11-10 05:10:00,131,Low
2019-05-06 12:45:00,2019-05-16 12:45:00,134,Low
2019-07-31 12:10:00,2019-08-10 12:10:00,139,Low
2019-08-26 12:30:00,2019-09-05 12:30:00,146,Low
2019-10-20 09:00:00,2019-10-30 09:00:00,143,Low
2020-04-15 13:05:00,2020-04-25 13:05:00,143,Low
2021-05-07 12:50:00,2021-05-17 12:50:00,146,Low
2021-10-07 15:10:00,2021-10-17 15:10:00,167,Low
2022-01-29 09:25:00,2022-02-08 09:25:00,153,Low
2022-03-08 17:55:00,2022-03-18 17:55:00,139,Low
2022-04-05 04:50:00,2022-04-15 04:50:00,138,Low
2022-08-30 09:15:00,2022-09-09 09:15:00,148,Low
2022-11-02 16:55:00,2022-11-12 16:55:00,139,Low
2022-12-02 16:35:00,2022-12-12 16:35:00,144,Low
1981-04-08 03:55:00,1981-04-18 03:55:00,267,Moderate
1981-05-10 06:25:00,1981-05-20 06:25:00,173,Moderate
1981-07-20 14:15:00,1981-07-30 14:15:00,287,Moderate
1981-10-09 02:20:00,1981-10-19 02:20:00,245,Moderate
1982-02-25 10:15:00,1982-03-07 10:15:00,193,Moderate
1982-09-17 06:35:00,1982-09-27 06:35:00,254,Moderate
1983-01-05 05:55:00,1983-01-15 05:55:00,184,Moderate
1983-05-19 18:15:00,1983-05-29 18:15:00,224,Moderate
1984-03-30 17:45:00,1984-04-09 17:45:00,189,Moderate
1985-04-16 02:45:00,1985-04-26 02:45:00,211,Moderate
1986-09-07 04:40:00,1986-09-17 04:40:00,216,Moderate
1987-08-20 14:05:00,1987-08-30 14:05:00,188,Moderate
1988-02-17 07:40:00,1988-02-27 07:40:00,204,Moderate
1988-10-05 12:15:00,1988-10-15 12:15:00,201,Moderate
1988-11-25 10:15:00,1988-12-05 10:15:00,183,Moderate
1989-01-15 16:10:00,1989-01-25 16:10:00,180,Moderate
1989-04-30 01:10:00,1989-05-10 01:10:00,176,Moderate
1989-05-18 15:30:00,1989-05-28 15:30:00,210,Moderate
1989-06-05 16:40:00,1989-06-15 16:40:00,235,Moderate
1989-08-10 12:30:00,1989-08-20 12:30:00,215,Moderate
1989-08-24 05:05:00,1989-09-03 05:05:00,254,Moderate
1989-11-12 17:50:00,1989-11-22 17:50:00,273,Moderate
1989-11-26 18:10:00,1989-12-06 18:10:00,199,Moderate
1990-04-05 14:00:00,1990-04-15 14:00:00,286,Moderate
1990-05-21 22:05:00,1990-05-31 22:05:00,223,Moderate
1990-06-07 21:35:00,1990-06-17 21:35:00,289,Moderate
1990-07-23 23:10:00,1990-08-02 23:10:00,195,Moderate
1990-10-05 09:40:00,1990-10-15 09:40:00,171,Moderate
1990-11-22 17:10:00,1990-12-02 17:10:00,176,Moderate
1991-08-25 13:05:00,1991-09-04 13:05:00,179,Moderate
1991-09-26 21:45:00,1991-10-06 21:45:00,189,Moderate
1992-02-03 15:00:00,1992-02-13 15:00:00,287,Moderate
1992-02-21 17:30:00,1992-03-02 17:30:00,238,Moderate
1992-06-07 13:45:00,1992-06-17 13:45:00,172,Moderate
1992-09-04 12:40:00,1992-09-14 12:40:00,198,Moderate
1992-09-24 09:30:00,1992-10-04 09:30:00,173,Moderate
1993-12-03 01:05:00,1993-12-13 01:05:00,173,Moderate
1994-02-17 00:55:00,1994-02-27 00:55:00,225,Moderate
1994-04-12 08:40:00,1994-04-22 08:40:00,272,Moderate
1994-10-24 11:45:00,1994-11-03 11:45:00,180,Moderate
1994-11-21 10:20:00,1994-12-01 10:20:00,190,Moderate
1995-04-02 19:00:00,1995-04-12 19:00:00,254,Moderate
1996-04-09 22:30:00,1996-04-19 22:30:00,183,Moderate
1996-09-21 19:40:00,1996-10-01 19:40:00,172,Moderate
1998-02-13 00:50:00,1998-02-23 00:50:00,188,Moderate
1998-03-05 18:15:00,1998-03-15 18:15:00,255,Moderate
1998-08-22 08:25:00,1998-09-01 08:25:00,202,Moderate
1998-11-03 06:00:00,1998-11-13 06:00:00,196,Moderate
1999-02-13 10:40:00,1999-02-23 10:40:00,246,Moderate
1999-10-17 07:25:00,1999-10-27 07:25:00,214,Moderate
2000-02-07 12:05:00,2000-02-17 12:05:00,176,Moderate
2000-05-19 03:30:00,2000-05-29 03:30:00,225,Moderate
2000-08-07 03:40:00,2000-08-17 03:40:00,206,Moderate
2000-09-12 22:30:00,2000-09-22 22:30:00,219,Moderate
2000-09-30 12:15:00,2000-10-10 12:15:00,258,Moderate
2002-04-14 13:30:00,2002-04-24 13:30:00,189,Moderate
2002-05-18 12:20:00,2002-05-28 12:20:00,204,Moderate
2002-09-26 11:20:00,2002-10-06 11:20:00,199,Moderate
2003-07-07 05:40:00,2003-07-17 05:40:00,172,Moderate
2003-09-12 13:35:00,2003-09-22 13:35:00,171,Moderate
2005-05-10 08:45:00,2005-05-20 08:45:00,250,Moderate
2005-05-25 15:05:00,2005-06-04 15:05:00,177,Moderate
2005-09-06 06:35:00,2005-09-16 06:35:00,266,Moderate
2006-12-10 00:05:00,2006-12-20 00:05:00,267,Moderate
2011-07-31 21:50:00,2011-08-10 21:50:00,183,Moderate
2012-03-04 09:55:00,2012-03-14 09:55:00,229,Moderate
2012-06-12 13:10:00,2012-06-22 13:10:00,184,Moderate
2013-03-12 12:20:00,2013-03-22 12:20:00,171,Moderate
2013-09-27 05:50:00,2013-10-07 05:50:00,171,Moderate
2015-01-02 10:40:00,2015-01-12 10:40:00,212,Moderate
2015-03-12 13:55:00,2015-03-22 13:55:00,250,Moderate
2015-08-10 12:00:00,2015-08-20 12:00:00,204,Moderate
2015-09-04 09:30:00,2015-09-14 09:30:00,189,Moderate
2015-10-02 19:00:00,2015-10-12 19:00:00,216,Moderate
2016-12-16 16:15:00,2016-12-26 16:15:00,171,Moderate
2017-07-11 13:25:00,2017-07-21 13:25:00,175,Moderate
2017-09-03 00:35:00,2017-09-13 00:35:00,230,Moderate
2018-08-21 04:55:00,2018-08-31 04:55:00,197,Moderate
2021-10-30 09:10:00,2021-11-09 09:10:00,216,Moderate
1982-09-01 12:10:00,1982-09-11 12:10:00,376,Intense
1982-11-19 18:10:00,1982-11-29 18:10:00,294,Intense
1983-01-30 17:10:00,1983-02-09 17:10:00,306,Intense
1986-02-03 20:50:00,1986-02-13 20:50:00,498,Intense
1988-03-29 19:30:00,1988-04-08 19:30:00,414,Intense
1989-09-14 03:50:00,1989-09-24 03:50:00,335,Intense
1989-10-16 12:15:00,1989-10-26 12:15:00,511,Intense
1991-05-31 17:00:00,1991-06-10 17:00:00,516,Intense
1991-07-08 16:20:00,1991-07-18 16:20:00,297,Intense
1992-05-05 10:10:00,1992-05-15 10:10:00,366,Intense
1998-04-29 05:45:00,1998-05-09 05:45:00,415,Intense
1998-09-20 06:30:00,1998-09-30 06:30:00,395,Intense
2000-07-10 21:15:00,2000-07-20 21:15:00,380,Intense
2001-04-06 16:10:00,2001-04-16 16:10:00,422,Intense
2001-11-01 02:45:00,2001-11-11 02:45:00,329,Intense
2001-11-19 07:10:00,2001-11-29 07:10:00,330,Intense
2003-05-24 22:25:00,2003-06-03 22:25:00,377,Intense
2004-07-21 23:20:00,2004-07-31 23:20:00,294,Intense
2004-11-03 04:05:00,2004-11-13 04:05:00,339,Intense
2005-01-16 17:40:00,2005-01-26 17:40:00,392,Intense
2015-06-17 19:45:00,2015-06-27 19:45:00,348,Intense
1982-07-09 00:00:00,1982-07-19 00:00:00,604,SuperIntense
1989-03-08 22:05:00,1989-03-18 22:05:00,721,SuperIntense
1991-03-19 04:30:00,1991-03-29 04:30:00,682,SuperIntense
1991-11-04 00:15:00,1991-11-14 00:15:00,578,SuperIntense
2000-04-02 00:25:00,2000-04-12 00:25:00,612,SuperIntense
2003-10-24 20:05:00,2003-11-03 20:05:00,828,SuperIntense
